id,imbd_id,title,overview,production_companies,release_date,budget,revenue,runtime,language,genres,status
437,tt0285492,Cube²: Hypercube,The sequel to the low budget first film ‘Cube.’ This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Ghost House Pictures"", ""id"": 768}]",2002-04-15,0,0,94,,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",Released
438,tt0377713,Cube Zero,Cube Zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. When the nerd can’t stand to see a woman suffer he himself enters the cube to try and save her.,"[{""name"": ""Mad Circus Films"", ""id"": 3547}, {""name"": ""Lions Gate Entertainments"", ""id"": 7035}, {""name"": ""Mr. X"", ""id"": 44323}]",2004-10-15,825000,0,97,,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",Released
439,tt0053779,La Dolce Vita,Episodic journey of an Italian journalist scouring Rome in search of love.,"[{""name"": ""Pathé Consortium Cinéma"", ""id"": 220}, {""name"": ""Riama Film"", ""id"": 221}, {""name"": ""Société Nationale Pathé Cinéma"", ""id"": 222}, {""name"": ""The Criterion Collection"", ""id"": 10932}]",1960-02-05,0,19516000,174,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",Released
440,tt0758730,Aliens vs Predator: Requiem,"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.","[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Brandywine Productions"", ""id"": 19747}]",2007-12-25,40000000,41797066,94,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",Released
441,tt0219822,Human Nature,"A philosophical burlesque, Human Nature follows the ups and downs of an obsessive scientist, a female naturalist, and the man they discover, born and raised in the wild. As scientist Nathan trains the wild man, Puff, in the ways of the world - starting with table manners - Nathan's lover Lila fights to preserve the man's simian past, which represents a freedom enviable to most.","[{""name"": ""Fine Line Features"", ""id"": 8}, {""name"": ""Senator Film Produktion"", ""id"": 191}, {""name"": ""Beverly Detroit"", ""id"": 267}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Partizan"", ""id"": 1784}, {""name"": ""Good Machine"", ""id"": 10565}]",2001-05-18,6000000,705308,96,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",Released
442,tt0314524,Popular Music,Two boys grow up together in town of Pajala at 60's united by rock-n-roll music.,"[{""name"": ""Happy End Filmproductions AB"", ""id"": 227}, {""name"": ""Filmpool Nord"", ""id"": 228}, {""name"": ""Solar Films inc."", ""id"": 6339}, {""name"": ""Svensk Filmindustri"", ""id"": 6416}]",2004-09-24,2224000,28000000,100,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",Released
445,tt0387898,Caché,A married couple is terrorized by a series of videotapes planted on their front porch.,"[{""name"": ""Les Films du Losange"", ""id"": 223}, {""name"": ""Wega Film"", ""id"": 224}, {""name"": ""BIM Distribuzione"", ""id"": 225}, {""name"": ""Centre National de la Cinématographie"", ""id"": 310}, {""name"": ""Filmstiftung Nordrhein-Westfalen"", ""id"": 315}, {""name"": ""France 3 Cinéma"", ""id"": 591}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""Bavaria Film"", ""id"": 1704}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Studio Canal"", ""id"": 5870}, {""name"": ""Arte France Cinéma"", ""id"": 6916}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Filmfonds Wien"", ""id"": 10273}, {""name"": ""ORF Film/Fernseh-Abkommen"", ""id"": 11388}, {""name"": ""Österreichisches Filminstitut"", ""id"": 11389}]",2005-05-02,0,36000000,117,,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",Released
451,tt0113627,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Intial Productions"", ""id"": 15547}]",1995-10-27,3600000,49800000,112,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
452,tt0154421,The Idiots,With his first Dogma-95 film director Lars von Trier opens up a completely new film platform. With a mix of home-video and documentary styles the film tells the story of a group of young people who have decided to get to know their “inner-idiots” and thus not only facing and breaking their outer appearance but also their inner.,"[{""name"": ""Zentropa Entertainments"", ""id"": 76}, {""name"": ""DR TV"", ""id"": 639}]",1998-04-28,2500000,7235,117,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",Released
453,tt0268978,A Beautiful Mind,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..","[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}]",2001-12-11,60000000,313542341,135,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Released
